meal_action_id,current_slot,source_date,meal_text,archetype,calories_kcal,protein_g,fresh_light_score,comfort_food_score,indulgence_score,slot_archetype_frequency,slot_kcal_fit,high_kcal_pressure,projection_template_id,projected_day_slot_summary,projected_robust_weight_support,projected_fragility,meal_enjoyment,meal_health,next_action_score,target_service_form_primary,target_principal_protein,target_principal_starch,target_principal_veg,target_target_top_canonical_entities,meal_cluster_key,meal_cluster_id,cluster_observed_examples,cluster_kcal_min,cluster_kcal_median,cluster_kcal_max,alternate_observed_examples,portion_guidance,plain_language_explanation,temporal_loss_score,temporal_low_loss_support_pressure,temporal_positive_strength,temporal_policy_band,temporal_decision_label,temporal_conditioning_mode,bridge_score,bridge_rank,temporal_adjustment,bridge_explanation
meal_00031,lunch,2025-02-10,Carne Asada Street Tacos + Mexican Rice And Beans,mixed_plate,614.0,42.0,0.0,0.0,0.0,0.37293729372937295,0.8942695722356739,0.0,day_2025-05-22__lighter_observed_portion,breakfast:beverage_only (10 kcal); lunch:mixed_plate (970 kcal); dinner:tex_mex_meal (815 kcal); evening_snack:cookie (227 kcal),0.8443898147827251,0.08581141341537357,0.7035673930589185,0.7153996492107242,0.7830310889349251,tacos,beef,corn_tortilla,allium,carne asada street tacos | mexican rice and beans,unknown|tacos|beef,cluster_000,9,614.0,826.0,1173.0,Carne Asada Street Tacos + Mexican Rice And Beans || Carne Asada Street Tacos + Tortilla Chip + Mexican Rice And Beans || Carne Asada Street Tacos + Mexican Rice And Beans,Observed lunch examples in this archetype cluster range 614-1173 kcal; choose a portion near 826 kcal unless already over budget.,solid protein/health profile; familiar high-fit lunch pattern; links to day templates with robust weight support; low stress-test fragility,0.3817430755033829,0.10974096197905116,0.0,below 0.4288,negative,below locked loss-support threshold: weight health and robust support more heavily,0.8231368984963586,1,0.0401058095614335,current temporal state is below the locked loss-support threshold; health score is strong; projected day support is robust; enjoyment/familiarity remains high
meal_00140,lunch,2025-03-20,Pasta with Meat Sauce + White Tortilla,mixed_plate,396.0,17.002844449334965,0.45,0.55,0.5,0.37293729372937295,0.718321226795803,0.0,day_2025-05-22__lighter_observed_portion,breakfast:beverage_only (10 kcal); lunch:mixed_plate (970 kcal); dinner:tex_mex_meal (815 kcal); evening_snack:cookie (227 kcal),0.8443898147827251,0.08581141341537357,0.7170803066989508,0.5890999104925627,0.7618250152833025,bowl,beef,pasta,tomato,pasta with meat sauce | flour tortilla,unknown|bowl|beef,cluster_002,1,396.0,396.0,396.0,Pasta with Meat Sauce + White Tortilla,Observed lunch examples in this archetype cluster range 396-396 kcal; choose a portion near 396 kcal unless already over budget.,familiar high-fit lunch pattern; links to day templates with robust weight support; low stress-test fragility,0.3817430755033829,0.10974096197905116,0.0,below 0.4288,negative,below locked loss-support threshold: weight health and robust support more heavily,0.7986782959438893,2,0.036853280660586796,current temporal state is below the locked loss-support threshold; projected day support is robust; enjoyment/familiarity remains high
meal_00145,lunch,2025-03-22,Chicken Shawarma Pita + French Fries,mixed_plate,735.0,44.30770712909441,0.0,0.0,0.0,0.37293729372937295,0.9919289749798225,0.0,day_2025-05-22__lighter_observed_portion,breakfast:beverage_only (10 kcal); lunch:mixed_plate (970 kcal); dinner:tex_mex_meal (815 kcal); evening_snack:cookie (227 kcal),0.8443898147827251,0.08581141341537357,0.7279822437449557,0.5728275958375051,0.7618411334660925,sandwich_wrap,chicken,pita,lettuce_tomato,chicken shawarma pita sandwich | french fries,unknown|sandwich_wrap|chicken,cluster_001,6,697.0,787.5,1430.0,Chicken Shawarma Pita + French Fries || Chicken Shawarma Pita + French Fries || Chicken Shawarma Pita + French Fries,Observed lunch examples in this archetype cluster range 697-1430 kcal; choose a portion near 788 kcal unless already over budget.,familiar high-fit lunch pattern; links to day templates with robust weight support; low stress-test fragility,0.3817430755033829,0.10974096197905116,0.0,below 0.4288,negative,below locked loss-support threshold: weight health and robust support more heavily,0.7983841864584543,3,0.036543052992361824,current temporal state is below the locked loss-support threshold; projected day support is robust; enjoyment/familiarity remains high
meal_00789,lunch,2025-11-14,Philly Steak And Cheese Sub + French Fries,mixed_plate,745.0,32.955026020792616,0.0,0.0,0.0,0.37293729372937295,1.0,0.0,day_2025-05-22__lighter_observed_portion,breakfast:beverage_only (10 kcal); lunch:mixed_plate (970 kcal); dinner:tex_mex_meal (815 kcal); evening_snack:cookie (227 kcal),0.8443898147827251,0.08581141341537357,0.73,0.548890624266061,0.757659066028317,sub_sandwich,beef,roll,onion_pepper,philly cheesesteak sandwich | french fries,unknown|sub_sandwich|beef,cluster_003,1,745.0,745.0,745.0,Philly Steak And Cheese Sub + French Fries,Observed lunch examples in this archetype cluster range 745-745 kcal; choose a portion near 745 kcal unless already over budget.,familiar high-fit lunch pattern; links to day templates with robust weight support; low stress-test fragility,0.3817430755033829,0.10974096197905116,0.0,below 0.4288,negative,below locked loss-support threshold: weight health and robust support more heavily,0.7935792294140528,4,0.03592016338573578,current temporal state is below the locked loss-support threshold; projected day support is robust; enjoyment/familiarity remains high
meal_00730,lunch,2025-10-26,Bbq Chicken + Mashed Potatoes,mixed_plate,646.0,37.11922331162194,0.0,0.0,0.0,0.37293729372937295,0.9200968523002422,0.0,day_2025-05-22__lighter_observed_portion,breakfast:beverage_only (10 kcal); lunch:mixed_plate (970 kcal); dinner:tex_mex_meal (815 kcal); evening_snack:cookie (227 kcal),0.8443898147827251,0.08581141341537357,0.7100242130750606,0.5484637836370048,0.7515809618250239,side_portion,chicken,potato,potato,mashed potatoes | bbq chicken,unknown|side_portion|chicken,cluster_004,1,646.0,646.0,646.0,Bbq Chicken + Mashed Potatoes,Observed lunch examples in this archetype cluster range 646-646 kcal; choose a portion near 646 kcal unless already over budget.,familiar high-fit lunch pattern; links to day templates with robust weight support; low stress-test fragility,0.3817430755033829,0.10974096197905116,0.0,below 0.4288,negative,below locked loss-support threshold: weight health and robust support more heavily,0.7872522947714341,5,0.03567133294641023,current temporal state is below the locked loss-support threshold; projected day support is robust; enjoyment/familiarity remains high
meal_00705,lunch,2025-10-19,Fried Chicken Breast + Mashed Potatoes,mixed_plate,601.0,38.886796460177,0.0,0.0,0.0,0.37293729372937295,0.8837772397094431,0.0,day_2025-05-22__lighter_observed_portion,breakfast:beverage_only (10 kcal); lunch:mixed_plate (970 kcal); dinner:tex_mex_meal (815 kcal); evening_snack:cookie (227 kcal),0.8443898147827251,0.08581141341537357,0.7009443099273608,0.5503356840029496,0.7492313709539028,plate,chicken,breading,potato,fried chicken breast | mashed potatoes,unknown|plate|chicken,cluster_005,1,601.0,601.0,601.0,Fried Chicken Breast + Mashed Potatoes,Observed lunch examples in this archetype cluster range 601-601 kcal; choose a portion near 601 kcal unless already over budget.,familiar high-fit lunch pattern; links to day templates with robust weight support; low stress-test fragility,0.3817430755033829,0.10974096197905116,0.0,below 0.4288,negative,below locked loss-support threshold: weight health and robust support more heavily,0.7848454273507307,6,0.03561405639682791,current temporal state is below the locked loss-support threshold; projected day support is robust; enjoyment/familiarity remains high
meal_01011,lunch,2026-02-03,Beef Vegetable Stir Fry + Steamed White Rice,mixed_plate,809.0,45.98789837189071,0.0,0.0,0.0,0.37293729372937295,0.9483454398708636,0.12955465587044535,day_2025-05-22__lighter_observed_portion,breakfast:beverage_only (10 kcal); lunch:mixed_plate (970 kcal); dinner:tex_mex_meal (815 kcal); evening_snack:cookie (227 kcal),0.8443898147827251,0.08581141341537357,0.717086359967716,0.5495341106017011,0.7435492988161242,plate,beef,rice,mixed_veg,beef vegetable stir-fry | white rice,unknown|plate|beef,cluster_006,2,460.0,634.5,809.0,"Beef Vegetable Stir Fry + Steamed White Rice || Beef Teriyaki Stir-Fry Tender Beef With Broccoli, Green Beans, Red Bell Peppers And Carrots in a Teriyaki Sauce + Steamed White Rice",Observed lunch examples in this archetype cluster range 460-809 kcal; choose a portion near 634 kcal unless already over budget.,familiar high-fit lunch pattern; links to day templates with robust weight support; low stress-test fragility,0.3817430755033829,0.10974096197905116,0.0,below 0.4288,negative,below locked loss-support threshold: weight health and robust support more heavily,0.7782870435857228,7,0.034737744769598566,current temporal state is below the locked loss-support threshold; projected day support is robust; enjoyment/familiarity remains high
meal_00639,lunch,2025-09-25,Panda Express Chow Mein + Panda Express Super Greens + Panda Express Beef Black Pepper Angus Steak,mixed_plate,660.0,52.5,0.0,0.0,0.0,0.37293729372937295,0.9313962873284907,0.0,day_2025-05-22__lighter_observed_portion,breakfast:beverage_only (10 kcal); lunch:mixed_plate (970 kcal); dinner:tex_mex_meal (815 kcal); evening_snack:cookie (227 kcal),0.8443898147827251,0.08581141341537357,0.7128490718321226,0.499729020979021,0.7426814669205457,entree,beef,wheat_noodles,pepper_allium,black pepper beef stir-fry | chow mein noodles | mixed stir-fried greens,unknown|entree|beef,cluster_007,5,585.0,660.0,708.0,Panda Express Chow Mein + Panda Express Super Greens + Panda Express Beef Black Pepper Angus Steak || Panda Express Chow Mein + Panda Express Super Greens + Panda Express Beef Black Pepper Angus Steak || Panda Express Chow Mein + Panda Express Super Greens + Panda Express Beef Black Pepper Angus Steak,Observed lunch examples in this archetype cluster range 585-708 kcal; choose a portion near 660 kcal unless already over budget.,familiar high-fit lunch pattern; links to day templates with robust weight support; low stress-test fragility,0.3817430755033829,0.10974096197905116,0.0,below 0.4288,negative,below locked loss-support threshold: weight health and robust support more heavily,0.7770693768047477,8,0.03438790988420204,current temporal state is below the locked loss-support threshold; projected day support is robust; enjoyment/familiarity remains high
meal_00620,lunch,2025-09-19,Baked Chicken Wing,mixed_plate,704.0,37.62570572181688,0.0,0.0,0.0,0.37293729372937295,0.966908797417272,0.0,day_2025-05-22__lighter_observed_portion,breakfast:beverage_only (10 kcal); lunch:mixed_plate (970 kcal); dinner:tex_mex_meal (815 kcal); evening_snack:cookie (227 kcal),0.8443898147827251,0.08581141341537357,0.721727199354318,0.46597284098371883,0.738593669178144,finger_food,chicken,,,chicken wings,unknown|finger_food|chicken,cluster_008,2,704.0,831.0,958.0,Baked Chicken Wing || Baked Chicken Wing + Pepperoni Pizza,Observed lunch examples in this archetype cluster range 704-958 kcal; choose a portion near 831 kcal unless already over budget.,familiar high-fit lunch pattern; links to day templates with robust weight support; low stress-test fragility,0.3817430755033829,0.10974096197905116,0.0,below 0.4288,negative,below locked loss-support threshold: weight health and robust support more heavily,0.7721748363554372,9,0.0335811671772932,current temporal state is below the locked loss-support threshold; projected day support is robust; enjoyment/familiarity remains high
meal_00690,lunch,2025-10-15,Chicken Quesadilla + Tortilla Chip,mixed_plate,810.0,39.95595111977686,0.0,0.0,0.0,0.37293729372937295,0.9475383373688459,0.13157894736842105,day_2025-05-22__lighter_observed_portion,breakfast:beverage_only (10 kcal); lunch:mixed_plate (970 kcal); dinner:tex_mex_meal (815 kcal); evening_snack:cookie (227 kcal),0.8443898147827251,0.08581141341537357,0.7168845843422115,0.5116647888827194,0.7357529584648382,folded_flatbread,chicken,flour_tortilla,,chicken quesadilla | tortilla chips,unknown|folded_flatbread|chicken,cluster_009,2,810.0,1116.5,1423.0,Chicken Quesadilla + Tortilla Chip || Chicken Quesadilla + Tortilla Chip + Guacamole,Observed lunch examples in this archetype cluster range 810-1423 kcal; choose a portion near 1116 kcal unless already over budget.,familiar high-fit lunch pattern; links to day templates with robust weight support; low stress-test fragility,0.3817430755033829,0.10974096197905116,0.0,below 0.4288,negative,below locked loss-support threshold: weight health and robust support more heavily,0.7694485975920148,10,0.033695639127176547,current temporal state is below the locked loss-support threshold; projected day support is robust; enjoyment/familiarity remains high
meal_00576,lunch,2025-09-02,Scrambled Eggs + Bacon,mixed_plate,451.0,31.69683387493784,0.0,0.0,0.0,0.37293729372937295,0.7627118644067796,0.0,day_2025-05-22__lighter_observed_portion,breakfast:beverage_only (10 kcal); lunch:mixed_plate (970 kcal); dinner:tex_mex_meal (815 kcal); evening_snack:cookie (227 kcal),0.8443898147827251,0.08581141341537357,0.670677966101695,0.5226201080925964,0.7346083526241325,side_strip,pork,,,bacon | scrambled eggs,unknown|side_strip|pork,cluster_010,1,451.0,451.0,451.0,Scrambled Eggs + Bacon,Observed lunch examples in this archetype cluster range 451-451 kcal; choose a portion near 451 kcal unless already over budget.,links to day templates with robust weight support; low stress-test fragility,0.3817430755033829,0.10974096197905116,0.0,below 0.4288,negative,below locked loss-support threshold: weight health and robust support more heavily,0.7691139003214981,11,0.03450554769736558,current temporal state is below the locked loss-support threshold; projected day support is robust
meal_00740,lunch,2025-10-29,Panda Express Chow Mein + Panda Express Orange Chicken + Panda Express Super Greens + Panda Express Beef Black Pepper Angus Steak,mixed_plate,733.0,47.16030412164866,0.0,0.0,0.0,0.37293729372937295,0.9903147699757869,0.0,day_2025-05-22__lighter_observed_portion,breakfast:beverage_only (10 kcal); lunch:mixed_plate (970 kcal); dinner:tex_mex_meal (815 kcal); evening_snack:cookie (227 kcal),0.8443898147827251,0.08581141341537357,0.7275786924939467,0.4250245836607285,0.7321594656554344,entree,chicken,breading,pepper_allium,orange chicken | black pepper beef stir-fry | chow mein noodles | mixed stir-fried greens,unknown|entree|chicken,cluster_011,5,733.0,969.0,1180.0,Panda Express Chow Mein + Panda Express Orange Chicken + Panda Express Super Greens + Panda Express Beef Black Pepper Angus Steak || Panda Express Chow Mein + Panda Express Orange Chicken + Panda Express Broccoli Beef || Panda Express Chow Mein + Panda Express Orange Chicken + Panda Express Beef Black Pepper Angus Steak,Observed lunch examples in this archetype cluster range 733-1180 kcal; choose a portion near 969 kcal unless already over budget.,familiar high-fit lunch pattern; links to day templates with robust weight support; low stress-test fragility,0.3817430755033829,0.10974096197905116,0.0,below 0.4288,negative,below locked loss-support threshold: weight health and robust support more heavily,0.7647035816874855,12,0.032544116032051096,current temporal state is below the locked loss-support threshold; projected day support is robust; enjoyment/familiarity remains high
